customer_id,customer_name,gender,age,location_id,signup_date,customer_segment
10051,Ishita Sethi,Female,20.0,54,2025-03-22,Regular
10052,Nandini Verma,Female,43.0,5,2025-01-03,Premium
10053,Abhishek Menon,Male,30.0,30,2023-10-14,Premium
10054,Anushka Shah,Female,30.0,44,2022-05-23,Regular
10055,Shruti Chauhan,Female,44.0,97,2024-04-13,Regular
10056,Siddharth Pillai,Male,64.0,100,2025-03-17,Premium
10057,Payal Menon,Female,27.0,16,2024-01-29,Regular
10058,Pranav Khanna,Male,61.0,90,2023-03-06,Regular
10059,Karan Gupta,Male,42.0,10,2024-08-05,Regular
10060,Komal Pillai,Female,64.0,75,2024-11-23,Regular
10061,Tanvi Khanna,Female,36.0,85,2024-08-04,Regular
10062,Aarav Bansal,Male,65.0,90,2025-10-28,Regular
10063,Vihaan Yadav,Male,49.0,23,2023-05-18,Regular
10064,Aditya Chatterjee,Male,50.0,90,2024-09-02,Regular
10065,Pallavi Gupta,Female,45.0,12,2025-09-30,Regular
10066,Arjun Khan,Male,39.0,52,2022-12-07,Regular
10067,Kabir Pandey,Male,43.0,47,2023-03-27,Regular
10068,Dev Joshi,Other,58.0,32,2022-03-20,Premium
10069,Rohan Jain,Male,56.0,3,2023-08-23,Regular
10070,Aanya Bansal,Female,19.0,78,2022-03-13,Regular
10071,Rahul Mishra,Male,51.0,34,2025-04-09,Regular
10072,Ananya Yadav,Female,58.0,67,2022-05-23,Regular
10073,Aman Nair,Male,53.0,42,2025-01-12,Regular
10074,Kunal Kulkarni,Male,41.0,38,2024-07-16,VIP
10075,Nikhil Sethi,Male,34.0,89,2026-04-30,Regular
10076,Aditi Chatterjee,Female,50.0,10,2023-07-12,Regular
10077,Diya Khan,Female,49.0,74,2023-07-06,Premium
10078,Vivek Verma,Male,35.0,75,2023-01-24,Regular
10079,Ritvik Shah,Male,37.0,38,2024-05-09,Regular
10080,Isha Pandey,Female,35.0,27,2022-12-17,Regular
10081,Yash Chauhan,Male,20.0,1,2022-07-01,VIP
10082,Sahil Menon,Male,19.0,94,2026-02-26,Regular
10083,Priya Jain,Female,21.0,95,2024-12-22,Regular
10084,Varun Pillai,Male,38.0,25,2022-07-10,Premium
10085,Manish Khanna,Male,42.0,4,2024-09-15,Premium
10086,Ankit Gupta,Male,37.0,13,2023-05-03,VIP
10087,Rajat Agarwal,Male,63.0,7,2022-10-16,Regular
10088,Neha Mishra,Female,28.0,84,2024-01-25,VIP
10089,Riya Nair,Female,36.0,90,2025-06-14,Regular
10090,Sneha Kulkarni,Female,29.0,16,2022-01-01,Premium
10091,Mohit Sinha,Male,32.0,75,2023-07-23,Premium
10092,Kavya Sethi,Female,46.0,18,2026-01-13,Regular
10093,Akash Roy,Male,32.0,37,2023-09-23,Regular
10094,Meera Verma,Female,33.0,60,2022-06-08,Regular
10095,Harsh Naidu,Male,50.0,72,2023-11-17,Premium
10096,Nisha Shah,Female,57.0,88,2024-12-27,Regular
10097,Dev Tripathi,Male,28.0,5,2026-05-14,Premium
10098,Ayush Mehta,Male,23.0,20,2024-10-03,Regular
10099,Dhruv Kapoor,Male,29.0,29,2022-03-22,Regular
10100,Ishaan Reddy,Male,45.0,32,2025-07-18,Regular
10101,Rishi Ghosh,Male,64.0,100,2025-06-02,Premium
10102,Pooja Chauhan,Female,25.0,78,2024-11-08,Regular
10103,Simran Menon,Female,20.0,33,2025-12-05,Regular
10104,Abhishek Ansari,Male,43.0,98,2025-05-16,Regular
10105,Shreya Pillai,Female,65.0,50,2023-01-07,Premium
10106,Tanya Khanna,Female,44.0,51,2023-11-05,Premium
10107,Avni Gupta,Female,62.0,44,2024-03-22,Regular
10108,Mahi Agarwal,Female,48.0,15,2024-02-21,Regular
10109,Radhika Sinha,Female,19.0,94,2024-10-19,Regular
10110,Sakshi Roy,Female,38.0,2,2025-01-27,Regular
10111,Muskan Naidu,Female,54.0,18,2022-06-16,Premium
10112,Palak Tripathi,Female,42.0,23,2024-06-28,Regular
10113,Siddharth Sharma,Male,27.0,28,2022-03-04,Regular
10114,Pranav Patel,Male,26.0,14,2024-03-29,Premium
10115,Karan Joshi,Male,49.0,2,2023-11-07,Regular
10116,Ishita Mehta,Female,40.0,68,2022-11-25,Regular
10117,Aarav Menon,Male,45.0,97,2026-05-05,Regular
10118,Nandini Kapoor,Female,35.0,13,2023-02-17,Regular
10119,Anushka Reddy,Female,34.0,30,2022-04-01,Regular
10120,Aryan Iyer,Other,49.0,51,2023-07-28,Regular
10121,Vihaan Pillai,Male,18.0,93,2025-04-26,Regular
10122,Shruti Ghosh,Female,38.0,70,2022-01-15,Regular
10123,Payal Ansari,Female,35.0,77,2024-02-28,Premium
10124,Aditya Khanna,Male,55.0,59,2023-10-30,Regular
10125,Komal Sharma,Female,52.0,42,2025-10-17,Regular
10126,Arjun Gupta,Male,38.0,20,2022-01-05,Regular
10127,Tanvi Patel,Female,30.0,87,2022-01-28,Regular
10128,Kabir Agarwal,Male,29.0,81,2024-06-23,Regular
10129,Rohan Sinha,Male,28.0,3,2022-10-15,Regular
10130,Rahul Roy,Male,31.0,72,2025-01-31,Premium
10131,Aman Naidu,Male,54.0,9,2023-03-21,Regular
10132,Kunal Tripathi,Male,20.0,74,2024-06-18,Premium
10133,Pallavi Joshi,Female,19.0,83,2022-03-02,Regular
10134,Nikhil Mehta,Male,43.0,14,2025-01-14,Regular
10135,Vivek Kapoor,Male,28.0,44,2024-04-09,Regular
10136,Aanya Menon,Female,57.0,13,2022-01-01,Regular
10137,Ananya Pillai,Female,54.0,57,2023-03-02,Premium
10138,Aditi Khanna,Female,54.0,93,2022-04-06,Premium
10139,Diya Gupta,Female,39.0,9,2022-03-13,Premium
10140,Ritvik Reddy,Male,39.0,40,2025-01-22,Regular
10141,Isha Agarwal,Female,38.0,98,2023-11-16,Regular
10142,Yash Ghosh,Male,27.0,31,2025-07-08,Regular
10143,Priya Sinha,Female,45.0,14,2023-02-17,Regular
10144,Samar Deshmukh,Other,59.0,49,2025-02-22,Regular
10145,Neha Roy,Female,30.0,51,2024-09-11,Regular
10146,Riya Naidu,Female,20.0,67,2024-11-26,Regular
10147,Sneha Tripathi,Female,45.0,32,2025-08-17,Premium
10148,Sahil Ansari,Male,37.0,96,2025-02-05,Regular
10149,Kavya Mehta,Female,56.0,53,2025-04-07,Regular
10150,Meera Kapoor,Female,59.0,29,2025-03-29,Regular
10151,Reyansh Arora,Other,63.0,97,2023-12-17,VIP
10152,Varun Sharma,Male,36.0,93,2025-03-05,Regular
10153,Manish Patel,Male,61.0,50,2025-09-09,Regular
10154,Nisha Reddy,Female,23.0,3,2025-03-26,Regular
10155,Ankit Joshi,Male,35.0,60,2024-08-30,Regular
10156,Rajat Iyer,Male,30.0,56,2022-04-29,Regular
10157,Mohit Deshmukh,Male,62.0,15,2023-11-30,Premium
10158,Pooja Ghosh,Female,46.0,64,2022-04-12,Premium
10159,Akash Arora,Male,35.0,85,2022-06-16,VIP
10160,Harsh Singh,Male,25.0,11,2023-08-01,Regular
10161,Dev Malhotra,Male,55.0,73,2024-01-13,Premium
10162,Simran Ansari,Female,49.0,15,2024-04-24,Regular
10163,Aanya Sharma,Female,58.0,75,2025-12-11,Regular
10164,Ayush Saxena,Male,39.0,42,2025-05-05,Regular
10165,Dhruv Das,Male,25.0,1,2023-11-08,Regular
10166,Shreya Sharma,Female,34.0,97,2023-06-20,Regular
10167,Ishaan Rao,Male,47.0,17,2025-02-14,VIP
10168,Tanya Patel,Female,29.0,60,2023-03-17,Premium
10169,Rishi Tiwari,Male,21.0,19,2025-11-14,Regular
10170,Avni Joshi,Female,57.0,94,2025-06-04,Regular
10171,Abhishek Kumar,Male,43.0,74,2024-12-28,Regular
10172,Mahi Iyer,Female,37.0,81,2023-02-03,Regular
10173,Siddharth Bansal,Male,44.0,44,2024-09-21,Regular
10174,Radhika Deshmukh,Female,53.0,47,2025-08-06,Regular
10175,Navya Singh,Other,18.0,64,2022-04-26,Regular
10176,Sakshi Arora,Female,39.0,79,2022-10-11,Premium
10177,Pranav Yadav,Male,30.0,85,2024-04-04,Premium
10178,Karan Chatterjee,Male,22.0,2,2023-07-30,Regular
10179,Muskan Singh,Female,19.0,67,2025-02-09,Premium
10180,Palak Malhotra,Female,39.0,11,2023-10-04,Regular
10181,Aarav Ansari,Male,44.0,29,2026-05-14,Regular
10182,Vihaan Sharma,Male,42.0,83,2023-04-25,Regular
10183,Aditya Patel,Male,55.0,26,2023-07-31,Regular
10184,Ishita Saxena,Female,39.0,80,2022-01-06,Regular
10185,Nandini Das,Female,46.0,47,2023-01-31,Regular
10186,Anushka Rao,Female,57.0,24,2023-01-12,Regular
10187,Shruti Tiwari,Female,49.0,34,2025-05-05,VIP
10188,Arjun Joshi,Male,61.0,54,2023-06-25,Regular
10189,Kabir Iyer,Male,28.0,77,2022-11-22,Regular
10190,Rohan Deshmukh,Male,55.0,61,2023-05-17,VIP
10191,Payal Kumar,Female,51.0,94,2024-06-19,Regular
10192,Rahul Arora,Male,45.0,87,2025-06-10,Regular
10193,Aman Singh,Male,18.0,76,2026-04-16,Premium
10194,Kunal Malhotra,Male,43.0,61,2022-03-17,Regular
10195,Nikhil Saxena,Male,59.0,29,2025-09-07,Regular
10196,Komal Bansal,Female,48.0,42,2023-09-15,Regular
10197,Vivek Das,Male,18.0,12,2025-07-17,Regular
10198,Ritvik Rao,Male,31.0,38,2022-03-02,Premium
10199,Tanvi Yadav,Female,45.0,93,2024-09-28,Regular
10200,Yash Tiwari,Male,56.0,43,2026-01-29,Regular
10201,Sahil Kumar,Male,39.0,12,2022-03-04,Premium
10202,Varun Bansal,Male,59.0,66,2025-06-18,VIP
10203,Pallavi Chatterjee,Female,56.0,97,2022-07-02,Regular
10204,Manish Yadav,Male,30.0,87,2026-04-21,Regular
10205,Aanya Ansari,Female,27.0,28,2025-04-05,VIP
10206,Ananya Sharma,Female,61.0,46,2025-12-27,Regular
10207,Aditi Patel,Female,46.0,54,2025-12-07,Regular
10208,Ankit Chatterjee,Male,58.0,25,2023-05-21,Regular
10209,Diya Joshi,Female,62.0,27,2023-10-28,Premium
10210,Rajat Khan,Male,38.0,24,2025-01-11,Regular
10211,Mohit Pandey,Male,20.0,100,2022-10-07,Regular
10212,Isha Iyer,Female,61.0,75,2023-05-06,Premium
10213,Akash Jain,Male,46.0,85,2022-06-08,Regular
10214,Harsh Mishra,Male,23.0,82,2025-11-22,Regular
10215,Dev Nair,Male,43.0,96,2023-02-01,Regular
10216,Ayush Kulkarni,Male,19.0,11,2023-10-20,Premium
10217,Dhruv Sethi,Male,31.0,89,2023-12-26,Regular
10218,Priya Deshmukh,Female,34.0,7,2023-08-25,Premium
10219,Neha Arora,Female,39.0,48,2025-05-29,Regular
10220,Ishaan Verma,Male,45.0,60,2026-01-02,Regular
10221,Riya Singh,Female,58.0,36,2024-07-05,Premium
10222,Rishi Shah,Male,34.0,15,2025-08-31,Regular
10223,Abhishek Chauhan,Male,53.0,20,2022-06-27,Regular
10224,Siddharth Menon,Male,63.0,83,2026-03-27,Premium
10225,Pranav Pillai,Male,53.0,32,2022-07-05,Regular
10226,Karan Khanna,Male,30.0,32,2022-04-17,Regular
10227,Aarav Kumar,Male,50.0,93,2022-02-05,Premium
10228,Vihaan Bansal,Male,31.0,15,2023-01-25,Regular
10229,Sneha Malhotra,Female,40.0,92,2025-09-01,Regular
10230,Aditya Yadav,Male,48.0,93,2023-04-27,Regular
10231,Arjun Chatterjee,Male,32.0,60,2025-06-19,Regular
10232,Kabir Khan,Male,18.0,17,2023-11-10,Premium
10233,Kavya Saxena,Female,58.0,16,2022-06-16,Regular
10234,Rohan Pandey,Male,52.0,29,2024-01-28,Premium
10235,Meera Das,Female,23.0,58,2023-01-07,Premium
10236,Rahul Jain,Male,36.0,16,2023-04-12,Premium
10237,Aman Mishra,Male,30.0,46,2024-04-07,Regular
10238,Nisha Rao,Female,64.0,12,2025-06-18,Regular
10239,Kunal Nair,Male,63.0,55,2024-07-27,Premium
10240,Nikhil Kulkarni,Male,51.0,3,2022-12-24,Regular
10241,Vivek Sethi,Male,39.0,71,2025-02-21,Premium
10242,Sana Malhotra,Other,20.0,6,2025-01-19,Premium
10243,Pooja Tiwari,Female,29.0,20,2023-01-15,Regular
10244,Simran Kumar,Female,22.0,18,2025-09-24,Regular
10245,Riya Saxena,Other,55.0,84,2025-09-11,Regular
10246,Ritvik Verma,Male,22.0,6,2024-08-23,Regular
10247,Shreya Bansal,Female,50.0,43,2023-04-19,Regular
10248,Yash Shah,Male,63.0,60,2023-07-21,Regular
10249,Tanya Yadav,Female,32.0,52,2023-12-05,Premium
10250,Sahil Chauhan,Male,50.0,69,2022-10-28,Regular
10251,Varun Menon,Male,60.0,81,2023-05-05,Regular
10252,Avni Chatterjee,Female,38.0,40,2022-08-03,Premium
10253,Manish Pillai,Male,39.0,83,2022-09-05,Premium
10254,Kriti Das,Other,27.0,32,2025-04-05,VIP
10255,Ankit Khanna,Male,38.0,99,2022-07-25,Regular
10256,Mahi Khan,Female,59.0,51,2024-01-21,Premium
10257,Radhika Pandey,Female,49.0,74,2023-11-18,Premium
10258,Rajat Gupta,Male,27.0,88,2022-03-16,Premium
10259,Sakshi Jain,Female,43.0,80,2025-08-23,Regular
10260,Muskan Mishra,Female,51.0,86,2026-04-24,Regular
10261,Palak Nair,Female,21.0,54,2024-10-18,Regular
10262,Mohit Agarwal,Male,54.0,5,2024-12-10,Regular
10263,Ishita Kulkarni,Female,27.0,50,2023-01-08,Regular
10264,Nandini Sethi,Female,32.0,19,2025-09-12,Premium
10265,Akash Sinha,Male,37.0,89,2025-06-08,Regular
10266,Harsh Roy,Male,42.0,24,2023-12-03,VIP
10267,Dev Naidu,Male,61.0,23,2025-02-03,Regular
10268,Anushka Verma,Female,28.0,25,2026-03-09,Premium
10269,Ayush Tripathi,Male,30.0,65,2024-08-22,Regular
10270,Shruti Shah,Female,36.0,58,2022-11-16,Regular
10271,Milan Rao,Other,59.0,95,2023-06-13,Regular
10272,Dhruv Mehta,Male,64.0,42,2022-10-24,Premium
10273,Ishaan Kapoor,Male,39.0,29,2023-06-15,Regular
10274,Payal Chauhan,Female,51.0,5,2025-11-25,Regular
10275,Rishi Reddy,Male,62.0,1,2022-10-31,VIP
10276,Komal Menon,Female,58.0,38,2025-11-27,Regular
10277,Tanvi Pillai,Female,50.0,93,2023-04-02,Regular
10278,Pallavi Khanna,Female,43.0,53,2024-03-09,Regular
10279,Abhishek Ghosh,Male,65.0,90,2024-04-25,Regular
10280,Aanya Kumar,Female,29.0,11,2022-07-21,Regular
10281,Ananya Bansal,Female,35.0,10,2022-10-22,Regular
10282,Siddharth Ansari,Male,52.0,84,2023-05-04,Regular
10283,Aditi Yadav,Female,19.0,11,2022-04-06,Regular
10284,Diya Chatterjee,Female,42.0,6,2025-04-21,Premium
10285,Isha Khan,Female,59.0,41,2024-05-23,VIP
10286,Pranav Sharma,Male,26.0,93,2025-09-15,Regular
10287,Karan Patel,Male,56.0,69,2025-10-12,Regular
10288,Aarav Chauhan,Male,37.0,10,2023-07-11,Regular
10289,Vihaan Menon,Male,59.0,84,2025-07-31,Premium
10290,Aditya Pillai,Male,48.0,85,2022-04-08,Regular
10291,Aadi Tiwari,Other,25.0,81,2023-11-19,Regular
10292,Arjun Khanna,Male,53.0,91,2024-12-01,Regular
10293,Priya Pandey,Female,20.0,24,2024-01-16,Regular
10294,Kabir Gupta,Male,29.0,98,2025-03-29,Premium
10295,Rohan Agarwal,Male,60.0,33,2025-10-05,Regular
10296,Rahul Sinha,Male,60.0,81,2023-11-10,Regular
10297,Aman Roy,Male,20.0,58,2023-03-16,Regular
10298,Neha Jain,Female,36.0,78,2024-07-21,Regular
10299,Riya Mishra,Female,22.0,63,2025-10-21,Regular
10300,Sneha Nair,Female,31.0,65,2026-04-29,Premium
10301,Kunal Naidu,Male,64.0,62,2025-07-28,Regular
10302,Kavya Kulkarni,Female,27.0,78,2023-01-27,Regular
10303,Nikhil Tripathi,Male,48.0,74,2022-11-25,Regular
10304,Meera Sethi,Female,56.0,14,2024-07-05,Regular
10305,Vivek Mehta,Male,60.0,83,2023-10-06,Premium
10306,Ritvik Kapoor,Male,34.0,54,2024-09-04,Regular
10307,Yash Reddy,Male,51.0,33,2026-01-17,Regular
10308,Sahil Ghosh,Male,41.0,52,2024-05-28,Regular
10309,Varun Ansari,Male,23.0,97,2023-07-23,VIP
10310,Nisha Verma,Female,28.0,86,2025-10-22,Premium
10311,Pooja Shah,Female,53.0,84,2023-12-04,Regular
10312,Simran Chauhan,Female,50.0,47,2024-08-26,Regular
10313,Manish Sharma,Male,43.0,79,2022-08-05,Premium
10314,Shreya Menon,Female,55.0,39,2024-03-23,Premium
10315,Ankit Patel,Male,51.0,69,2023-11-14,Regular
10316,Tanya Pillai,Female,34.0,64,2022-07-16,Premium
10317,Rajat Joshi,Male,32.0,25,2022-12-05,Regular
10318,Mohit Iyer,Male,63.0,27,2025-01-30,Regular
10319,Avni Khanna,Female,64.0,7,2022-10-16,Regular
10320,Akash Deshmukh,Male,19.0,14,2022-07-31,Regular
10321,Harsh Arora,Male,55.0,44,2022-04-03,Regular
10322,Mahi Gupta,Female,24.0,48,2022-02-12,Regular
10323,Dev Singh,Male,59.0,17,2023-11-27,Premium
10324,Radhika Agarwal,Female,46.0,42,2024-02-21,Premium
10325,Ayush Malhotra,Male,51.0,61,2024-09-25,Regular
10326,Sakshi Sinha,Female,51.0,24,2024-07-04,Regular
10327,Muskan Roy,Female,47.0,34,2024-05-08,Regular
10328,Palak Naidu,Female,30.0,37,2026-05-18,Regular
10329,Ishita Tripathi,Female,56.0,51,2023-02-04,Regular
10330,Nandini Mehta,Female,44.0,37,2025-02-13,Premium
10331,Anushka Kapoor,Female,44.0,74,2022-05-08,Regular
10332,Dhruv Saxena,Male,33.0,33,2025-09-19,Regular
10333,Ishaan Das,Male,18.0,44,2023-08-04,Premium
10334,Shruti Reddy,Female,44.0,38,2023-07-09,Regular
10335,Rishi Rao,Male,34.0,19,2022-08-05,Regular
10336,Abhishek Tiwari,Male,49.0,69,2024-03-25,Premium
10337,Siddharth Kumar,Male,35.0,24,2023-10-02,Premium
10338,Payal Ghosh,Female,64.0,30,2026-04-08,Regular
10339,Pranav Bansal,Male,50.0,80,2022-10-12,Regular
10340,Komal Ansari,Female,39.0,95,2023-10-30,Regular
10341,Tanvi Sharma,Female,51.0,68,2025-12-11,Regular
10342,Pallavi Patel,Female,49.0,92,2025-07-15,Regular
10343,Karan Yadav,Male,47.0,86,2025-05-08,Regular
10344,Aanya Chauhan,Female,45.0,49,2024-04-21,Regular
10345,Ananya Menon,Female,62.0,78,2025-10-29,Premium
10346,Aarav Ghosh,Male,33.0,33,2022-12-25,Regular
10347,Aditi Pillai,Female,38.0,47,2025-07-19,Premium
10348,Vihaan Ansari,Male,30.0,54,2024-07-17,Regular
10349,Diya Khanna,Female,45.0,97,2023-07-14,Premium
10350,Aditya Sharma,Male,65.0,85,2022-12-15,Regular
10351,Isha Gupta,Female,47.0,49,2024-04-14,Regular
10352,Priya Agarwal,Female,27.0,66,2022-01-05,Premium
10353,Arjun Patel,Male,62.0,21,2025-02-17,Premium
10354,Neha Sinha,Female,55.0,81,2023-01-13,Regular
10355,Kabir Joshi,Male,39.0,56,2023-09-15,Regular
10356,Riya Roy,Female,25.0,54,2022-11-06,Regular
10357,Sneha Naidu,Female,37.0,77,2024-01-15,Regular
10358,Rohan Iyer,Male,56.0,64,2023-08-17,Regular
10359,Rahul Deshmukh,Male,45.0,8,2022-10-28,Premium
10360,Kavya Tripathi,Female,26.0,29,2025-11-22,Regular
10361,Aman Arora,Male,25.0,18,2025-04-30,Regular
10362,Meera Mehta,Female,64.0,74,2023-09-13,Regular
10363,Nisha Kapoor,Female,39.0,4,2022-04-03,VIP
10364,Pooja Reddy,Female,50.0,21,2025-09-14,Regular
10365,Kunal Singh,Male,35.0,60,2025-01-20,Regular
10366,Simran Ghosh,Female,22.0,70,2024-06-07,Regular
10367,Shreya Ansari,Female,37.0,51,2024-08-25,Premium
10368,Nikhil Malhotra,Male,51.0,87,2022-01-13,Regular
10369,Vivek Saxena,Male,34.0,92,2024-01-29,Regular
10370,Ritvik Das,Male,46.0,14,2022-10-29,Regular
10371,Yash Rao,Male,39.0,96,2024-11-08,Premium
10372,Tanya Sharma,Female,34.0,62,2026-01-30,Regular
10373,Sahil Tiwari,Male,30.0,64,2024-04-29,Regular
10374,Avni Patel,Female,30.0,10,2024-08-24,Regular
10375,Varun Kumar,Male,30.0,63,2024-12-03,Regular
10376,Manish Bansal,Male,52.0,73,2026-01-27,Regular
10377,Ankit Yadav,Male,34.0,59,2022-03-03,Regular
10378,Mahi Joshi,Female,53.0,9,2023-05-12,Regular
10379,Radhika Iyer,Female,32.0,53,2023-03-06,Regular
10380,Rajat Chatterjee,Male,33.0,94,2025-02-20,Regular
10381,Sakshi Deshmukh,Female,62.0,73,2023-12-18,Regular
10382,Mohit Khan,Male,60.0,14,2025-05-20,Regular
10383,Akash Pandey,Male,37.0,96,2024-01-26,Regular
10384,Harsh Jain,Male,30.0,96,2026-04-11,Regular
10385,Shiv Kumar,Other,52.0,17,2025-05-12,Regular
10386,Muskan Arora,Female,21.0,81,2022-01-30,Premium
10387,Palak Singh,Female,39.0,41,2026-05-01,VIP
10388,Dev Mishra,Male,46.0,60,2026-03-04,Regular
10389,Ayush Nair,Male,50.0,45,2022-03-11,Regular
10390,Ishita Malhotra,Female,23.0,79,2023-09-19,VIP
10391,Dhruv Kulkarni,Male,18.0,100,2026-04-02,VIP
10392,Nandini Saxena,Female,31.0,80,2025-09-02,Regular
10393,Anushka Das,Female,23.0,94,2024-01-20,Regular
10394,Ishaan Sethi,Male,42.0,95,2024-05-21,Premium
10395,Shruti Rao,Female,62.0,10,2022-02-17,VIP
10396,Payal Tiwari,Female,31.0,26,2024-06-22,Premium
10397,Rishi Verma,Male,39.0,73,2024-12-02,Regular
10398,Komal Kumar,Female,28.0,60,2023-07-30,Regular
10399,Tanvi Bansal,Female,20.0,6,2023-05-06,VIP
10400,Abhishek Shah,Male,51.0,10,2025-08-18,Regular
10401,Pallavi Yadav,Female,30.0,53,2023-12-19,Regular
10402,Siddharth Chauhan,Male,44.0,62,2023-02-27,Premium
10403,Aanya Ghosh,Female,50.0,17,2023-08-23,Regular
10404,Ananya Ansari,Female,58.0,18,2024-02-27,Regular
10405,Aditi Sharma,Female,26.0,13,2023-02-20,Regular
10406,Pranav Menon,Male,45.0,57,2024-06-15,Regular
10407,Diya Patel,Female,61.0,1,2025-10-09,Regular
10408,Karan Pillai,Male,41.0,58,2025-04-03,Regular
10409,Aarav Tiwari,Male,19.0,48,2023-01-06,Regular
10410,Vihaan Kumar,Male,30.0,47,2024-01-25,Regular
10411,Isha Joshi,Female,56.0,68,2024-05-19,Regular
10412,Aditya Bansal,Male,56.0,53,2024-12-24,VIP
10413,Arjun Yadav,Male,33.0,73,2025-04-25,Regular
10414,Priya Iyer,Female,27.0,77,2024-02-16,VIP
10415,Kabir Chatterjee,Male,32.0,93,2023-05-20,Regular
10416,Rohan Khan,Male,29.0,80,2024-11-20,Regular
10417,Rahul Pandey,Male,53.0,52,2022-07-21,Premium
10418,Aman Jain,Male,58.0,50,2024-12-14,Premium
10419,Neha Deshmukh,Female,20.0,24,2025-12-05,Regular
10420,Kunal Mishra,Male,53.0,60,2025-02-09,Regular
10421,Nikhil Nair,Male,54.0,14,2023-11-25,Regular
10422,Riya Arora,Female,47.0,94,2025-08-10,Regular
10423,Sneha Singh,Female,59.0,85,2024-05-01,Regular
10424,Kavya Malhotra,Female,19.0,12,2024-05-15,Regular
10425,Meera Saxena,Female,51.0,79,2025-09-25,Regular
10426,Nisha Das,Female,24.0,12,2022-11-06,Premium
10427,Vivek Kulkarni,Male,61.0,73,2025-06-01,Regular
10428,Pooja Rao,Female,41.0,9,2024-12-23,Premium
10429,Simran Tiwari,Female,22.0,49,2024-04-26,Premium
10430,Ritvik Sethi,Male,53.0,66,2022-05-04,VIP
10431,Yash Verma,Male,53.0,73,2025-05-10,Regular
10432,Sahil Shah,Male,40.0,42,2022-12-17,Regular
10433,Shreya Kumar,Female,32.0,93,2025-12-03,Regular
10434,Tanya Bansal,Female,18.0,78,2025-06-21,Regular
10435,Avni Yadav,Female,61.0,21,2023-08-05,Regular
10436,Varun Chauhan,Male,26.0,68,2023-11-28,Premium
10437,Manish Menon,Male,58.0,74,2022-02-10,Regular
